job_id,submit_epoch_ms,total_pending_x,pending_gpus_x,job_type,start_epoch_ms,total_running,running_gpus_x,wait_ms,wait_seconds,wait_minutes,label_long_wait,wait_threshold_p90,pending_ratio,queue_depth_norm,fragmentation_score,congestion_score,total_pending_y,pending_gpus_y,running_gpus_y,gpu_nodes_alloc,gpu_nodes_total,util_gpu_mean,util_gpu_std,util_gpu_max,util_mem_mean,util_mem_std,util_mem_max,temp_c_mean,temp_c_max,power_w_mean,power_w_max,mem_used_mb_mean,mem_used_mb_max,mem_total_mb_first,power_efficiency,mem_pressure,job_type_encoded
75,1770348329000,5,5,short,1770348363000,1,1,34000,34.0,0.5666666666666667,0,133.0,0.7142857142857143,0.0085763293310463,0.8,0.5282871845135997,5,5,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.211333333333334,11.06,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
76,1770348375000,5,5,short,1770348409000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.8333333333333334,0.0085763293310463,0.9,0.6059062321326473,5,5,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.095666666666666,10.35,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
77,1770348377000,5,5,short,1770348411000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.7142857142857143,0.0085763293310463,0.7,0.4982871845135996,5,5,2,3,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.201666666666666,11.27,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
63,1770348411000,3,3,medium,1770348543000,2,2,132000,132.0,2.2,0,133.0,0.6,0.0051457975986277,0.6,0.4215437392795883,3,3,2,4,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.192083333333333,11.05,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
64,1770348412000,2,2,short,1770348447000,2,2,35000,35.0,0.5833333333333334,0,133.0,0.5,0.0034305317324185,0.6,0.3810291595197256,2,2,2,4,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.217,11.07,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
73,1770348448000,7,7,short,1770348483000,2,2,35000,35.0,0.5833333333333334,0,133.0,0.7777777777777778,0.0120068610634648,0.8,0.5547131694301506,7,7,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.201333333333334,10.66,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
78,1770348484000,2,2,short,1770348519000,2,2,35000,35.0,0.5833333333333334,0,133.0,0.5,0.0034305317324185,0.4,0.3210291595197255,2,2,2,6,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.177666666666664,10.86,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
62,1770348520000,4,4,medium,1770348653000,2,2,133000,133.0,2.216666666666667,0,133.0,0.6666666666666666,0.006861063464837,0.7,0.4787249857061177,4,4,2,3,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.186416666666668,11.16,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
79,1770348573000,4,4,short,1770348607000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.6666666666666666,0.006861063464837,0.8,0.5087249857061178,4,4,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.298,11.44,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
61,1770348608000,0,0,long,1770348937000,1,1,329000,329.0,5.483333333333333,1,133.0,0.0,0.0,0.5,0.15,0,0,2,5,10,0.0,0.0,0.0,0.0,0.0,0.0,20.01,21.0,9.2982,11.14,1.0,1.0,15360.0,0.0,6.510416666666667e-05,2
80,1770348714000,2,2,short,1770348748000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.5,0.0034305317324185,0.8,0.4410291595197255,2,2,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.148666666666667,10.67,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
81,1770348834000,1,1,short,1770348868000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.3333333333333333,0.0017152658662092,0.8,0.3738479130931961,1,1,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.332,11.27,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
82,1770348954000,0,0,short,1770348988000,1,1,34000,34.0,0.5666666666666667,0,133.0,0.0,0.0,0.9,0.27,0,0,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.235333333333331,11.05,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
83,1770349383000,5,5,short,1770349417000,2,2,34000,34.0,0.5666666666666667,0,133.0,0.7142857142857143,0.0085763293310463,0.0,0.2882871845135996,5,5,2,10,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.336,10.74,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
84,1770349383000,5,5,burst,1770349401000,2,2,18000,18.0,0.3,0,133.0,0.7142857142857143,0.0085763293310463,0.0,0.2882871845135996,5,5,2,10,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.091333333333331,10.37,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
93,1770349402000,12,12,medium,1770349535000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8571428571428571,0.0205831903945111,0.8,0.5890320999754962,12,12,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.2555,11.16,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
94,1770349418000,11,11,medium,1770349551000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8461538461538461,0.0188679245283018,0.8,0.584121915820029,11,11,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.227916666666667,11.14,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
95,1770349536000,10,10,medium,1770349669000,2,2,133000,133.0,2.216666666666667,0,133.0,0.8333333333333334,0.0171526586620926,0.8,0.5784791309319611,10,10,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.31475,10.77,1.0,1.0,15360.0,0.0,6.510416666666667e-05,1
96,1770349552000,1,1,long,1770349881000,2,2,329000,329.0,5.483333333333333,1,133.0,0.3333333333333333,0.0017152658662092,0.0,0.1338479130931961,1,1,2,10,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.1767,11.74,1.0,1.0,15360.0,0.0,6.510416666666667e-05,2
92,1770349670000,8,8,burst,1770349689000,2,2,19000,19.0,0.3166666666666666,0,133.0,0.8,0.0137221269296741,0.8,0.5641166380789022,8,8,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.154,10.65,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
85,1770349690000,7,7,short,1770349725000,2,2,35000,35.0,0.5833333333333334,0,133.0,0.7777777777777778,0.0120068610634648,0.8,0.5547131694301506,7,7,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.148,10.75,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
86,1770349726000,6,6,burst,1770349744000,2,2,18000,18.0,0.3,0,133.0,0.75,0.0102915951972555,0.8,0.5430874785591767,6,6,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.132666666666667,10.06,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
87,1770349745000,0,0,short,1770349780000,2,2,35000,35.0,0.5833333333333334,0,133.0,0.0,0.0,0.3,0.09,0,0,2,7,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.131666666666666,10.55,1.0,1.0,15360.0,0.0,6.510416666666667e-05,0
